species;habitat;diet
microcebus_macarthurii;Forest;Omnivore
microcebus_mittermeieri;Forest;Omnivore
microcebus_murinus;Others;Omnivore
microcebus_myoxinus;Forest;Omnivore
microcebus_ravelobensis;Forest;Omnivore
microcebus_rufus;Forest;Omnivore
microcebus_sambiranensis;Forest;Omnivore
microcebus_tavaratra;Forest;Omnivore
miopithecus_ogouensis;Forest;Herbivore
miopithecus_talapoin;Others;Omnivore
mirza_coquereli;Forest;Omnivore
mirza_zaza;Forest;Omnivore
nasalis_larvatus;Forest;Herbivore
nomascus_annamensis;Forest;Herbivore
nomascus_concolor;Forest;Herbivore
nomascus_gabriellae;Forest;Herbivore
nomascus_hainanus;Forest;Herbivore
nomascus_leucogenys;Forest;Herbivore
nomascus_nasutus;Forest;Herbivore
nomascus_siki;Forest;Herbivore
nycticebus_bengalensis;Forest;Omnivore
nycticebus_coucang;Forest;Omnivore
nycticebus_javanicus;Forest;Omnivore
nycticebus_menagensis;Forest;Omnivore
nycticebus_pygmaeus;Forest;Omnivore
otolemur_crassicaudatus;Others;Omnivore
pan_paniscus;Forest;Omnivore
pan_troglodytes;Others;Omnivore
papio_anubis;Others;Omnivore
papio_cynocephalus;Others;Omnivore
papio_hamadryas;Others;Omnivore
papio_kindae;Others;Herbivore
papio_papio;Others;Omnivore
papio_ursinus;Others;Omnivore
perodicticus_potto;Forest;Herbivore
piliocolobus_badius;Forest;Herbivore
piliocolobus_foai;Forest;Herbivore
piliocolobus_gordonorum;Others;Herbivore
piliocolobus_kirkii;Others;Herbivore
piliocolobus_pennantii;Forest;Herbivore
piliocolobus_preussi;Forest;Herbivore
piliocolobus_rufomitratus;Forest;Herbivore
piliocolobus_tephrosceles;Forest;Herbivore
piliocolobus_tholloni;Others;Herbivore
pithecia_irrorata;Others;Herbivore
pithecia_pithecia;Others;Herbivore
plecturocebus_brunneus;Forest;Herbivore
plecturocebus_cupreus;Forest;Herbivore
plecturocebus_donacophilus;Others;Herbivore
plecturocebus_moloch;Forest;Omnivore
pongo_abelii;Forest;Herbivore
pongo_pygmaeus;Forest;Herbivore
presbytis_chrysomelas;Forest;Herbivore
presbytis_frontata;Forest;Herbivore
presbytis_melalophos;Others;Herbivore
presbytis_thomasi;Forest;Herbivore
procolobus_verus;Forest;Herbivore
prolemur_simus;Forest;Herbivore
propithecus_coquereli;Forest;Herbivore
propithecus_coronatus;Forest;Herbivore
propithecus_diadema;Forest;Herbivore
propithecus_edwardsi;Forest;Herbivore
propithecus_perrieri;Forest;Herbivore
propithecus_tattersalli;Forest;Herbivore
propithecus_verreauxi;Others;Herbivore
pygathrix_cinerea;Forest;Herbivore
pygathrix_nemaeus;Forest;Herbivore
pygathrix_nigripes;Forest;Herbivore
rhinopithecus_avunculus;Forest;Herbivore
rhinopithecus_bieti;Forest;Herbivore
rhinopithecus_brelichi;Forest;Herbivore
rhinopithecus_roxellana;Forest;Herbivore
rhinopithecus_strykeri;Forest;Herbivore
rungwecebus_kipunji;Forest;Omnivore
saguinus_bicolor;Forest;Herbivore
saguinus_geoffroyi;Forest;Omnivore
saguinus_imperator;Forest;Omnivore
saguinus_labiatus;Forest;Omnivore
saguinus_leucopus;Forest;Herbivore
saguinus_martinsi;Forest;Herbivore
saguinus_midas;Others;Omnivore
saguinus_mystax;Forest;Omnivore
saguinus_niger;Forest;Herbivore
saguinus_oedipus;Forest;Omnivore
saimiri_boliviensis;Forest;Omnivore
saimiri_ustus;Forest;Omnivore
saimiri_vanzolinii;Forest;Omnivore
sapajus_apella;Others;Omnivore
sapajus_cay;Others;Omnivore
sapajus_flavius;Forest;Omnivore
sapajus_libidinosus;Others;Omnivore
sapajus_macrocephalus;Forest;Omnivore
sapajus_nigritus;Forest;Omnivore
sapajus_robustus;Forest;Herbivore
